Neighbourhood;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
Justicia;Madrid;28004;Spain;40.42363727218819;-3.699246509858507;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;30.0;;;;10.0;1;15;1;1125;;4;12;23;262;33;96.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;5.0;8.84;40.4236372722,-3.69924650986
Embajadores;Madrid;28012;Spain;40.40850327789007;-3.6998347975487103;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;Kitchen,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_50;;30.0;;;;20.0;1;0;2;1125;;5;29;54;54;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;1.0;40.4085032779,-3.69983479755
;Madrid;28038;Spain;40.39348719015238;-3.6578876371153393;Bed & Breakfast;Entire home/apt;4;1.0;2.0;3.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Heating,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;;39.0;208.0;550.0;;;2;10;1;1125;;3;20;50;325;9;74.0;7.0;6.0;9.0;9.0;9.0;7.0;strict;1.0;0.55;40.3934871902,-3.65788763712
Sol;Madrid;28005;Spain;40.4140219518133;-3.707976001753267;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;;190.0;;;200.0;60.0;1;0;2;1125;;11;30;30;290;0;;;;;;;;strict;145.0;;40.4140219518,-3.70797600175
Sol;Madrid;28013;Spain;40.41688305043202;-3.7077919424190697;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;95.0;;;300.0;70.0;2;20;3;1125;;13;43;65;340;2;90.0;8.0;10.0;7.0;9.0;10.0;9.0;strict;37.0;0.16;40.4168830504,-3.70779194242
Ciudad Lineal;Madrid;28017;Spain;40.42623195758067;-3.654803625813059;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials;;49.0;320.0;1300.0;;10.0;1;0;2;1125;;8;25;37;256;2;;;;;;;;flexible;1.0;0.1;40.4262319576,-3.65480362581
;Madrid;28014;Spain;40.4122896473224;-3.697311763499437;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;;60.0;360.0;;100.0;30.0;1;0;3;1125;;16;36;63;338;71;88.0;9.0;10.0;9.0;9.0;10.0;9.0;strict;5.0;2.42;40.4122896473,-3.6973117635
;Madrid;28015;Spain;40.42845835448039;-3.714551186484494;Bed & Breakfast;Private room;2;0.5;1.0;4.0;Real Bed;;;86.0;;;;;1;0;1;1125;;29;59;89;179;0;;;;;;;;flexible;7.0;;40.4284583545,-3.71455118648
Justicia;Madrid;28004;Spain;40.421352960601745;-3.6963811745941095;Apartment;Private room;1;1.5;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Smoking allowed,Pets live on this property,Elevator in building,Hot tub,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;38.0;;999.0;;;1;0;1;35;;14;36;62;337;224;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;8.51;40.4213529606,-3.69638117459
Justicia;Madrid;28004;Spain;40.42052202249322;-3.697070100922315;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;50.0;;;;;2;10;2;1125;;7;20;35;110;29;94.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;1.0;4.51;40.4205220225,-3.69707010092
;Madrid;28045;Spain;40.406825579327666;-3.697517202455042;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_50;;39.0;;;100.0;5.0;1;25;1;200;;28;58;88;363;0;;;;;;;;flexible;1.0;;40.4068255793,-3.69751720246
Justicia;Madrid;28004;Spain;40.42513256713487;-3.698265464378656;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Safety card,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Laptop friendly workspace,Private living room,Private entrance;;55.0;;;;;1;30;1;90;;29;59;89;364;2;80.0;9.0;9.0;10.0;10.0;10.0;7.0;strict;1.0;0.45;40.4251325671,-3.69826546438
Castellana;Madrid;28006;Spain;40.43442319566859;-3.6825730200214744;Apartment;Entire home/apt;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance;;37.0;;;100.0;10.0;1;0;3;32;;7;29;56;56;11;95.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;1.25;40.4344231957,-3.68257302002
Sol;Madrid;28013;Spain;40.41814236609772;-3.707699714652232;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Washer,Essentials,Shampoo,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;95.0;;;100.0;45.0;1;0;5;10;;29;59;89;89;0;;;;;;;;strict;1.0;;40.4181423661,-3.70769971465
La Latina;Madrid;28005;Spain;40.41210582116848;-3.7127661239550065;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Laptop friendly workspace;;60.0;;;96.0;30.0;2;15;3;1125;;17;44;72;347;6;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;2.34;40.4121058212,-3.71276612396
Embajadores;Madrid;28012;Spain;40.40859855662677;-3.701872776045383;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo;215.0;40.0;380.0;950.0;100.0;17.0;1;0;3;30;;9;29;47;322;147;90.0;9.0;10.0;9.0;9.0;8.0;9.0;strict;1.0;3.14;40.4085985566,-3.70187277605
Palacio;Madrid;28013;Spain;40.41901311577951;-3.712406621233464;Apartment;Entire home/apt;6;2.0;2.0;5.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;186.0;;;250.0;70.0;1;0;3;1125;;5;13;15;245;3;100.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;1.0;0.31;40.4190131158,-3.71240662123
;Madrid;28014;Spain;40.413205389459065;-3.69726512577225;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Essentials,Shampoo,Hangers,Iron;;65.0;;;150.0;;1;0;2;1125;;0;2;13;84;8;88.0;10.0;10.0;10.0;9.0;10.0;9.0;strict;2.0;6.86;40.4132053895,-3.69726512577
Acacias;Madrid;28005;Spain;40.40220932986447;-3.711326353461352;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Washer,Essentials,Shampoo,Hair dryer,Iron;;50.0;;;150.0;20.0;1;0;2;180;;10;27;51;320;19;69.0;7.0;7.0;8.0;8.0;8.0;7.0;strict;11.0;0.67;40.4022093299,-3.71132635346
La Latina;Madrid;28005;Spain;40.40679100517448;-3.705245804919021;Apartment;Private room;1;1.0;1.0;2.0;Real Bed;Wireless Internet,Elevator in building,Heating,Family/kid friendly,First aid kit;;30.0;;;;;1;0;3;15;;0;0;0;244;15;97.0;10.0;10.0;9.0;10.0;9.0;9.0;strict;1.0;0.35;40.4067910052,-3.70524580492
;Madrid;28014;Spain;40.408228170517674;-3.687320922724373;House;Entire home/apt;5;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;110.0;;;;20.0;1;0;2;1125;;1;4;12;87;16;98.0;10.0;9.0;9.0;10.0;10.0;10.0;flexible;2.0;7.06;40.4082281705,-3.68732092272
Malasaña;Madrid;28004;Spain;40.421114875015114;-3.7058384123167145;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;;45.0;;;;25.0;1;0;1;1125;;5;10;24;289;122;80.0;8.0;9.0;9.0;9.0;10.0;8.0;strict;46.0;3.57;40.421114875,-3.70583841232
Justicia;Madrid;28004;Spain;40.42442876347118;-3.699780992948696;Dorm;Shared room;10;2.0;1.0;10.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,Essentials;;14.0;;;;;1;14;1;1125;;18;44;74;349;48;84.0;8.0;8.0;9.0;9.0;9.0;9.0;strict;3.0;1.97;40.4244287635,-3.69978099295
Aluche;Madrid;28011;Spain;40.407852339909674;-3.734146774617799;Apartment;Entire home/apt;2;1.0;2.0;2.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;40.0;350.0;1000.0;100.0;15.0;1;0;3;90;;13;17;17;267;24;94.0;10.0;10.0;10.0;10.0;8.0;10.0;flexible;1.0;1.66;40.4078523399,-3.73414677462
;Madrid;28004;Spain;40.42702021727271;-3.702974326717825;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;;25.0;;;;;1;0;1;1125;;16;37;62;337;0;;;;;;;;strict;5.0;;40.4270202173,-3.70297432672
Palos do Moguer;Madrid;28045;Spain;40.40622817107524;-3.694585695007892;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;;45.0;;;90.0;10.0;1;15;3;1125;;0;0;0;187;11;85.0;9.0;8.0;9.0;9.0;10.0;9.0;flexible;2.0;0.75;40.4062281711,-3.69458569501
;Madrid;28010;Spain;40.43355243646598;-3.7009635001957664;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Suitable for events,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;30.0;;;;;1;0;2;1125;;21;22;22;87;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.0;0.86;40.4335524365,-3.7009635002
Sol;Madrid;28013;Spain;40.41725586603851;-3.7075539481695703;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;59.0;;;;;1;0;2;7;;18;48;78;78;8;89.0;9.0;10.0;10.0;10.0;10.0;9.0;flexible;1.0;0.76;40.417255866,-3.70755394817
Malasaña;Madrid;28004;Spain;40.42480002321573;-3.7017381293633367;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer;484.0;60.0;385.0;1200.0;300.0;35.0;1;0;2;1000;;5;12;28;28;108;88.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;9.0;2.32;40.4248000232,-3.70173812936
Carabanchel;Madrid;28019;Spain;40.39233514497698;-3.7261887262275706;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;70.0;;;200.0;15.0;1;0;2;1125;;30;60;90;90;0;;;;;;;;flexible;1.0;;40.392335145,-3.72618872623
Palacio;Madrid;28013;Spain;40.416337249873166;-3.712171919228758;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;59.0;;5200.0;120.0;35.0;2;15;1;1125;;4;14;30;224;29;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;8.0;1.58;40.4163372499,-3.71217191923
Embajadores;Madrid;28012;Spain;40.41063719821243;-3.702110134536949;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Pets allowed,Washer,Essentials;;59.0;;800.0;;;1;0;5;31;;0;0;0;0;2;80.0;10.0;9.0;10.0;10.0;9.0;8.0;strict;1.0;0.25;40.4106371982,-3.70211013454
Justicia;Madrid;28004;Spain;40.421128936888934;-3.6996201870717313;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;Wireless Internet,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo;;20.0;195.0;500.0;150.0;8.0;1;0;1;1125;;7;24;44;315;69;89.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;5.0;2.82;40.4211289369,-3.69962018707
;Madrid;28013;Spain;40.42216112175837;-3.71084021476089;Apartment;Entire home/apt;7;2.0;2.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Hair dryer;;100.0;;;;;2;25;2;1125;;8;21;34;269;0;;;;;;;;moderate;6.0;;40.4221611218,-3.71084021476
Sol;Madrid;28013;Spain;40.41823161465508;-3.707352414398889;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials;;125.0;;;200.0;49.0;2;25;3;1125;;6;15;15;17;2;90.0;10.0;8.0;8.0;9.0;10.0;9.0;moderate;3.0;0.12;40.4182316147,-3.7073524144
Malasaña;Madrid;28015;Spain;40.42768210945156;-3.7094162762004967;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Essentials,Laptop friendly workspace;;65.0;450.0;1200.0;100.0;20.0;1;0;4;1125;;0;0;2;277;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;0.15;40.4276821095,-3.7094162762
;Madrid;28001;Spain;40.43017165122139;-3.680114288149413;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;85.0;375.0;775.0;96.0;30.0;1;0;7;60;;2;4;34;309;7;89.0;10.0;9.0;10.0;10.0;10.0;9.0;moderate;3.0;0.23;40.4301716512,-3.68011428815
Sol;Madrid;28012;Spain;40.41631043038147;-3.702988327378899;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;TV,Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;;125.0;532.0;2100.0;150.0;;1;0;2;1125;;10;26;43;314;49;89.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;6.0;2.84;40.4163104304,-3.70298832738
Argüelles;Madrid;28008;Spain;40.42308861250527;-3.7180036879083223;Apartment;Entire home/apt;10;1.0;3.0;8.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;70.0;;;150.0;30.0;3;17;2;160;;9;33;53;325;8;98.0;9.0;10.0;10.0;10.0;9.0;9.0;strict;2.0;3.43;40.4230886125,-3.71800368791
Palos do Moguer;Madrid;28045;Spain;40.4014008968491;-3.694949038062032;House;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Smoking allowed,Pets allowed,Pets live on this property,Elevator in building,Heating,Essentials,Shampoo;0.0;17.0;101.0;;;;1;17;1;1125;;4;11;25;271;269;90.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;1.0;5.71;40.4014008968,-3.69494903806
Sol;Madrid;28014;Spain;40.417498552045366;-3.700632263356347;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Indoor fireplace,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;;162.0;;;;;2;7;1;10;;20;45;73;348;27;91.0;9.0;9.0;10.0;10.0;10.0;9.0;flexible;1.0;1.11;40.417498552,-3.70063226336
Aluche;Madrid;28024;Spain;40.39804555614116;-3.7625318179416776;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Washer,24-hour check-in;;25.0;;;;;1;0;1;1125;;0;0;0;0;0;;;;;;;;flexible;1.0;;40.3980455561,-3.76253181794
;Madrid;28020;Spain;40.46211424949312;-3.697487662081674;Apartment;Entire home/apt;5;1.0;2.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;80.0;450.0;1500.0;;;1;0;2;1125;;9;35;55;324;17;96.0;10.0;9.0;10.0;10.0;9.0;10.0;moderate;1.0;1.34;40.4621142495,-3.69748766208
Cortes;Madrid;28014;Spain;40.41578922662241;-3.696802213514837;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;100.0;;;;68.0;1;0;3;300;;9;30;60;335;0;;;;;;;;strict;11.0;;40.4157892266,-3.69680221351
Castellana;Madrid;28006;Spain;40.43725735929145;-3.683893304062028;Apartment;Shared room;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Pets allowed,Breakfast,Pets live on this property,Elevator in building,Heating,Smoke detector,Safety card,Essentials;;35.0;;;;;1;0;1;1125;;10;40;70;324;24;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;3.41;40.4372573593,-3.68389330406
;Madrid;28013;Spain;40.42045289847306;-3.711866899997059;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;39.0;;;;15.0;1;10;14;1125;;21;42;42;293;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;0.19;40.4204528985,-3.7118669
;Madrid;28026;Spain;40.38682616815847;-3.705153713665449;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;62.0;;;100.0;19.0;1;0;2;1125;;1;7;15;280;30;96.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;1.0;3.06;40.3868261682,-3.70515371367
Moratalaz;Madrid;28030;Spain;40.403829600671315;-3.6380979004362786;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Heating,Washer,Dryer,First aid kit,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;17.0;;;;;1;0;2;1125;;0;0;9;9;4;100.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;1.0;1.22;40.4038296007,-3.63809790044
Embajadores;Madrid;28012;Spain;40.40975458282237;-3.698231880390866;Bed & Breakfast;Shared room;2;2.0;1.0;1.0;Futon;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Breakfast,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo;;30.0;196.0;;112.0;10.0;1;0;1;1125;;0;0;0;0;13;88.0;9.0;10.0;10.0;10.0;9.0;9.0;flexible;2.0;0.92;40.4097545828,-3.69823188039
Justicia;Madrid;28004;Spain;40.420509038096135;-3.699712303857417;Apartment;Entire home/apt;6;1.0;2.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;732.0;500.0;;;;;4;15;2;999;;6;25;37;102;65;93.0;9.0;10.0;10.0;9.0;9.0;9.0;strict;8.0;1.65;40.4205090381,-3.69971230386
Cortes;Madrid;28014;Spain;40.41344411828813;-3.696387773280674;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;50.0;;1590.0;200.0;18.0;1;0;2;365;;10;33;60;188;36;88.0;9.0;10.0;10.0;9.0;10.0;9.0;strict;12.0;1.89;40.4134441183,-3.69638777328
;Madrid;28012;Spain;40.40868956888174;-3.7016140162322553;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;50.0;330.0;1350.0;200.0;20.0;1;0;1;1125;;14;44;73;251;22;93.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;1.0;1.71;40.4086895689,-3.70161401623
;Madrid;28043;Spain;40.46503182741236;-3.6369336297788912;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;14.0;;;;;1;0;3;250;;7;37;67;157;0;;;;;;;;strict;1.0;;40.4650318274,-3.63693362978
Palos do Moguer;Madrid;28045;Spain;40.40432670987565;-3.6935318521173945;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;70.0;;;200.0;40.0;1;0;2;90;;0;7;7;169;4;95.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;1.0;0.44;40.4043267099,-3.69353185212
;Madrid;28004;Spain;40.42566410828109;-3.7012382532550014;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;70.0;;;;15.0;1;0;6;1125;;0;2;32;307;19;97.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;2.0;1.29;40.4256641083,-3.70123825326
La Latina;Madrid;28012;Spain;40.407338871766925;-3.7070192202047383;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Cable TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo;;59.0;399.0;800.0;100.0;;1;0;5;1125;;0;0;0;250;5;95.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;0.12;40.4073388718,-3.7070192202
Justicia;Madrid;28004;Spain;40.421591627869454;-3.69992329130812;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo;;59.0;350.0;1550.0;;15.0;1;30;3;1125;;30;60;90;303;9;84.0;8.0;9.0;10.0;10.0;10.0;9.0;strict;3.0;0.48;40.4215916279,-3.69992329131
Malasaña;Madrid;28013;Spain;40.42320523870183;-3.709320369404727;Guesthouse;Private room;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Elevator in building,Heating,Family/kid friendly,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;65.0;;;150.0;;2;20;2;1125;;17;47;77;352;0;;;;;;;;moderate;1.0;;40.4232052387,-3.7093203694
